canonical_smiles,mol_id,MW,LogP,TPSA,HBD,HBA,RotatableBonds,scaffold,scaffold_specificity,scaffold_size
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,M00803,435.52800000000013,4.161700000000002,112.07000000000001,2.0,5.0,10.0,c1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.9466801716388252,2
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,M00804,330.749,1.8907,122.63000000000001,3.0,5.0,5.0,c1ccc(NCc2ccco2)cc1,1.0,1
Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,M00805,263.2,-1.2886,110.60000000000001,3.0,7.0,2.0,O=c1ncccn1C1CCCO1,0.7265474540909509,15
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,M00806,297.74500000000006,-0.35129999999999967,118.35999999999999,3.0,5.0,1.0,O=S1(=O)NCNc2ccccc21,0.8176983027273006,7
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,M00807,392.4670000000002,1.8957000000000002,94.83,3.0,5.0,2.0,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,0.7265474540909509,15
CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,M00808,374.4770000000001,1.8036,94.83000000000001,3.0,5.0,2.0,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,0.7265474540909509,15
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,M00809,284.74600000000004,3.153800000000002,32.67,0.0,2.0,1.0,O=C1CN=C(c2ccccc2)c2ccccc2N1,0.6627017793637848,25
CNCCCC(C#N)(c1ccc(OC)c(OC)c1)C(C)C,M00810,290.40700000000004,3.1207800000000017,54.28,1.0,4.0,8.0,c1ccccc1,0.21161295934610674,802
O=c1ccn(C2OC(CO)C(O)C2(F)F)c(=O)[nH]1,M00811,264.18399999999997,-1.5775000000000003,104.54999999999998,3.0,6.0,2.0,O=c1ccn(C2CCCO2)c(=O)[nH]1,0.7758207207981391,10
CNCC(c1ccc(O)cc1)C1(O)CCCCC1,M00812,249.35399999999993,2.3904000000000005,52.489999999999995,3.0,3.0,4.0,c1ccc(CC2CCCCC2)cc1,0.802209494641301,8
COc1ccc(C(CN)C2(O)CCCCC2)cc1,M00813,249.35399999999996,2.4327000000000005,55.480000000000004,2.0,3.0,4.0,c1ccc(CC2CCCCC2)cc1,0.802209494641301,8
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,M00814,437.15200000000004,4.279179999999999,84.69999999999999,1.0,5.0,2.0,c1ccc(-n2cccn2)cc1,0.8555293230024756,5
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F,M00815,453.15100000000007,3.9452799999999995,101.76999999999998,1.0,6.0,2.0,c1ccc(-n2cccn2)cc1,0.8555293230024756,5
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1SC(F)(F)F,M00816,421.153,5.263680000000001,67.63,1.0,5.0,2.0,c1ccc(-n2cccn2)cc1,0.8555293230024756,5
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1C(F)(F)F,M00817,389.086,4.67058,67.63,1.0,4.0,1.0,c1ccc(-n2cccn2)cc1,0.8555293230024756,5
NCC(O)COc1ccc(CC(N)=O)cc1,M00818,224.25999999999996,-0.5872000000000004,98.57,3.0,4.0,6.0,c1ccccc1,0.21161295934610674,802
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,M00819,268.74399999999997,1.4020000000000006,41.57000000000001,1.0,3.0,4.0,O=C(NCCN1CCOCC1)c1ccccc1,1.0,1
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,M00820,256.09599999999995,2.0098,90.71,2.0,5.0,1.0,c1ccc(-c2cncnn2)cc1,1.0,1
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,M00821,608.6880000000004,4.171100000000004,117.78000000000003,1.0,10.0,8.0,O=C(OC1CCC2CC3c4[nH]c5ccccc5c4CCN3CC2C1)c1ccccc1,1.0,1
O=P1(NCCCl)OCCCN1CCCl,M00822,261.08899999999994,1.884,41.57,1.0,2.0,5.0,O=[PH]1NCCCO1,0.9466801716388252,2
NC(=O)N1c2ccccc2C(O)C(O)c2ccccc21,M00823,270.288,1.9838,86.79,3.0,3.0,0.0,c1ccc2c(c1)CCc1ccccc1N2,0.8176983027273006,7
O=c1[nH]c(Cl)c(Cl)cc1Cl,M00824,198.436,2.3350999999999997,32.86,1.0,1.0,0.0,O=c1cccc[nH]1,0.8352580650673657,6
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,M00825,288.28400000000005,3.468320000000002,70.54,0.0,6.0,7.0,c1cncnc1,0.7185751418868361,16
Cc1cc(=O)[nH]c(C(C)C)n1,M00826,152.197,1.20172,45.75,1.0,2.0,1.0,O=c1ccnc[nH]1,0.9088491513636503,3
CC(=O)N(C)N(C(=O)C(=O)N(C)C)c1ccccc1,M00827,263.297,0.5011000000000001,60.93000000000001,0.0,3.0,1.0,c1ccccc1,0.21161295934610674,802
O=[N+]([O-])/N=C1/NCCN1Cc1ccc(Cl)nc1,M00828,255.665,0.6878999999999995,83.66,1.0,3.0,3.0,N=C1NCCN1Cc1cccnc1,1.0,1
Cc1cc(Cl)ccc1OCCCC(=O)O,M00829,228.67499999999995,2.8920200000000005,46.53,1.0,2.0,5.0,c1ccccc1,0.21161295934610674,802
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,M00830,238.29099999999997,1.2198399999999998,58.56,0.0,5.0,2.0,c1cncnc1,0.7185751418868361,16
Cc1cc(C)nc(Nc2ccccc2)n1,M00831,199.25700000000003,2.837040000000001,37.81,1.0,3.0,2.0,c1ccc(Nc2ncccn2)cc1,0.9466801716388252,2
O=C(O)C(F)(F)C(F)(F)C(F)(F)F,M00832,214.03599999999997,1.9039000000000001,37.3,1.0,1.0,2.0,,0.0,0
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,M00833,264.04299999999995,2.5392,37.3,1.0,1.0,3.0,,0.0,0
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,M00834,314.04999999999995,3.1745,37.3,1.0,1.0,4.0,,0.0,0
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,M00835,364.05699999999996,3.8098,37.3,1.0,1.0,5.0,,0.0,0
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,M00836,414.06399999999996,4.4451,37.3,1.0,1.0,6.0,,0.0,0
